Color Name,Collection Name,Gender Name,No,Description,Item UPC/EAN Number,Eye Size Description
NAV,Lulu Optical,Female,L785 NAV 52,Lulu Optical L785 NAV 52,764724434076,52
RED,Lulu Optical,Female,L785 RED 52,Lulu Optical L785 RED 52,764724434083,52
BLK,Lulu Optical,Female,L786 BLK 54,Lulu Optical L786 BLK 54,764724434090,54
BLK,Lulu Optical,Female,L786 BLK 91,Lulu Optical L786 BLK 91,764724990268,54
BUR,Lulu Optical,Female,L786 BUR 54,Lulu Optical L786 BUR 54,764724434106,54
NAV,Lulu Optical,Female,L786 NAV 54,Lulu Optical L786 NAV 54,764724434113,54
NAV,Lulu Optical,Female,L786 NAV 91,Lulu Optical L786 NAV 91,764724990275,54
BLK,Lulu Optical,Female,L787 BLK 53,Lulu Optical L787 BLK 53,764724769918,53
NAV,Lulu Optical,Female,L787 NAV 53,Lulu Optical L787 NAV 53,764724769901,53
TEA,Lulu Optical,Female,L787 TEA 53,Lulu Optical L787 TEA 53,764724769925,53
BLK,Lulu Optical,Female,L788 BLK 51,Lulu Optical L788 BLK 51,764724769932,51
BRN,Lulu Optical,Female,L788 BRN 51,Lulu Optical L788 BRN 51,764724769956,51
NAV,Lulu Optical,Female,L788 NAV 51,Lulu Optical L788 NAV 51,764724769949,51
Unassigned,Lulu Optical,Female,L788 NAV 91,Lulu Optical L788 NAV 91,764724996598,Unassigned
BLC,Lulu Optical,Female,L789 BLC 53,Lulu Optical L789 BLC 53,764724840365,53
BLK,Lulu Optical,Female,L789 BLK 53,Lulu Optical L789 BLK 53,764724769987,53
Unassigned,Lulu Optical,Female,L789 BLK 90,Lulu Optical L789 BLK 90,764724995850,Unassigned
BRN,Lulu Optical,Female,L789 BRN 53,Lulu Optical L789 BRN 53,764724769970,53
Unassigned,Lulu Optical,Female,L789 BRN 90,Lulu Optical L789 BRN 90,764724995867,Unassigned
TEA,Lulu Optical,Female,L789 TEA 53,Lulu Optical L789 TEA 53,764724769963,53
Unassigned,Lulu Optical,Female,L789 TEA 90,Lulu Optical L789 TEA 90,764724995843,Unassigned
Unassigned,Lulu Optical,Female,L789 TEA 91,Lulu Optical L789 TEA 91,764724996611,Unassigned
BLK,Lulu Optical,Female,L790 BLK 54,Lulu Optical L790 BLK 54,764724806316,54
BRN,Lulu Optical,Female,L790 BRN 54,Lulu Optical L790 BRN 54,764724806293,54
Unassigned,Lulu Optical,Female,L790 BRN 91,Lulu Optical L790 BRN 91,764724996673,Unassigned
NAV,Lulu Optical,Female,L790 NAV 54,Lulu Optical L790 NAV 54,764724806309,54
BLK,Lulu Optical,Female,L791 BLK 54,Lulu Optical L791 BLK 54,764724826475,54
GLD,Lulu Optical,Female,L791 GLD 54,Lulu Optical L791 GLD 54,764724826482,54
BLK,Lulu Optical,Female,L792 BLK 51,Lulu Optical L792 BLK 51,764724826499,51
